period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
2024-12,MO,Missouri,COM,commercial,405447,9.42,228.80173,2429.38562,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,MO,Missouri,IND,industrial,9387,7.54,78.74203,1044.73984,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,MO,Missouri,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,MO,Missouri,RES,residential,2966122,11.57,376.06905,3251.30087,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,MO,Missouri,TRA,transportation,2,8.3,.18387,2.21531,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,MS,Mississippi,ALL,all sectors,1605452,10.96,412.11168,3761.5686,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,MS,Mississippi,COM,commercial,246457,12.48,129.86176,1040.19297,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,MS,Mississippi,IND,industrial,12234,6.92,90.58765,1308.71482,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,MS,Mississippi,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,MS,Mississippi,RES,residential,1346761,13.57,191.66228,1412.66081,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,MS,Mississippi,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,MT,Montana,ALL,all sectors,713679,10.51,145.98624,1389.5375,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,MT,Montana,COM,commercial,141129,11,47.66884,433.18831,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,MT,Montana,IND,industrial,10592,7.7,28.15141,365.57027,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,MT,Montana,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,MT,Montana,RES,residential,561958,11.88,70.16599,590.77892,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,MT,Montana,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,MTN,Mountain,ALL,all sectors,12684663,10.72,2589.17271,24152.25106,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,MTN,Mountain,COM,commercial,1557785,10.47,925.88776,8839.96363,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,MTN,Mountain,IND,industrial,99008,7.2,496.04301,6887.7681,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,MTN,Mountain,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,MTN,Mountain,RES,residential,11027865,13.86,1165.95169,8412.03145,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,MTN,Mountain,TRA,transportation,5,10.33,1.29025,12.48788,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NC,North Carolina,ALL,all sectors,5880289,11.67,1366.45518,11713.43411,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NC,North Carolina,COM,commercial,751269,10.92,417.4251,3821.55919,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NC,North Carolina,IND,industrial,8812,7.81,160.77855,2058.78624,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NC,North Carolina,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NC,North Carolina,RES,residential,5120207,13.51,788.14117,5832.11596,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NC,North Carolina,TRA,transportation,1,11.35,.11035,.97271,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,ND,North Dakota,ALL,all sectors,487783,7.77,214.5403,2761.6314,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,ND,North Dakota,COM,commercial,77494,7.17,73.42206,1023.78458,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,ND,North Dakota,IND,industrial,10981,7.09,82.78066,1167.35683,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,ND,North Dakota,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,ND,North Dakota,RES,residential,399308,10.23,58.33758,570.48999,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,ND,North Dakota,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NE,Nebraska,ALL,all sectors,1140970,8.57,265.49732,3099.00088,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NE,Nebraska,COM,commercial,161708,7.86,88.98585,1132.52009,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NE,Nebraska,IND,industrial,66945,7.29,70.02892,960.22709,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NE,Nebraska,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NE,Nebraska,RES,residential,912317,10.58,106.48256,1006.2537,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NE,Nebraska,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NEW,New England,ALL,all sectors,7751233,24.28,2340.95802,9642.59747,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NEW,New England,COM,commercial,949068,22.1,896.13797,4054.13463,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NEW,New England,IND,industrial,21002,17.58,208.51878,1186.2545,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NEW,New England,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NEW,New England,RES,residential,6781157,28.23,1230.25983,4357.84409,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NEW,New England,TRA,transportation,6,13.62,6.04144,44.36425,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NH,New Hampshire,ALL,all sectors,770535,21.26,203.70515,958.08428,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NH,New Hampshire,COM,commercial,112803,19.85,68.61704,345.69961,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NH,New Hampshire,IND,industrial,3109,17.01,25.32979,148.94575,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NH,New Hampshire,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NH,New Hampshire,RES,residential,654623,23.68,109.75833,463.43892,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NH,New Hampshire,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NJ,New Jersey,ALL,all sectors,4304433,16.2,1011.61853,6243.15006,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NJ,New Jersey,COM,commercial,540306,14.59,484.07743,3318.67915,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NJ,New Jersey,IND,industrial,11161,12.55,68.79804,548.29708,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NJ,New Jersey,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NJ,New Jersey,RES,residential,3752959,19.41,454.94775,2343.38073,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NJ,New Jersey,TRA,transportation,7,11.57,3.79531,32.7931,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NM,New Mexico,ALL,all sectors,1097954,8.95,228.22312,2551.3723,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NM,New Mexico,COM,commercial,147842,10.36,76.9629,743.15527,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NM,New Mexico,IND,industrial,9269,5.59,68.80223,1231.65861,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NM,New Mexico,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NM,New Mexico,RES,residential,940843,14.3,82.45799,576.55842,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NM,New Mexico,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NV,Nevada,ALL,all sectors,1508538,10.41,301.38222,2895.39883,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NV,Nevada,COM,commercial,180068,9.5,102.09875,1075.28984,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NV,Nevada,IND,industrial,4635,6.92,62.01335,896.78493,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NV,Nevada,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NV,Nevada,RES,residential,1323834,14.87,137.21861,922.74487,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NV,Nevada,TRA,transportation,1,8.89,.05151,.57919,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NY,New York,ALL,all sectors,8627482,19.81,2380.87866,12016.26925,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NY,New York,COM,commercial,1166643,18.72,1134.68376,6059.89117,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NY,New York,IND,industrial,16397,9.81,126.1817,1285.6792,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NY,New York,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NY,New York,RES,residential,7444436,24.41,1079.43306,4421.23906,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,NY,New York,TRA,transportation,6,16.27,40.58014,249.45982,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,OH,Ohio,ALL,all sectors,5803646,11.56,1517.34923,13123.59469,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,OH,Ohio,COM,commercial,628062,10.62,447.23204,4211.86089,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,OH,Ohio,IND,industrial,18106,7.41,302.12004,4074.785,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,OH,Ohio,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,OH,Ohio,RES,residential,5157476,15.88,767.69927,4833.57306,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,OH,Ohio,TRA,transportation,2,8.82,.29788,3.37575,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,OK,Oklahoma,ALL,all sectors,2210673,8.62,495.81805,5750.96838,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,OK,Oklahoma,COM,commercial,299862,8.45,170.54803,2018.61342,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,OK,Oklahoma,IND,industrial,19705,5.7,105.4846,1849.17056,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,OK,Oklahoma,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,OK,Oklahoma,RES,residential,1891106,11.67,219.78542,1883.1844,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,OK,Oklahoma,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,OR,Oregon,ALL,all sectors,2155397,11.05,613.19942,5547.35622,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,OR,Oregon,COM,commercial,248520,9.92,213.8497,2156.73226,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,OR,Oregon,IND,industrial,26717,7.8,99.94875,1280.81442,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,OR,Oregon,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,OR,Oregon,RES,residential,1880158,14.19,299.16632,2107.90431,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,OR,Oregon,TRA,transportation,2,12.32,.23465,1.90523,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,PA,Pennsylvania,ALL,all sectors,6295263,12.89,1601.86858,12431.14208,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,PA,Pennsylvania,COM,commercial,742247,11.14,371.20007,3332.94289,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,PA,Pennsylvania,IND,industrial,11585,7.91,297.85437,3767.27462,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,PA,Pennsylvania,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,PA,Pennsylvania,RES,residential,5541426,17.56,929.90134,5295.33976,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,PA,Pennsylvania,TRA,transportation,5,8.19,2.9128,35.58483,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,PACC,Pacific Contiguous,ALL,all sectors,22369378,19.1,6562.1069,34360.21712,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,PACC,Pacific Contiguous,COM,commercial,2451309,18.53,2719.98516,14680.10803,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,PACC,Pacific Contiguous,IND,industrial,202215,13.96,874.87089,6268.45296,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,PACC,Pacific Contiguous,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,PACC,Pacific Contiguous,RES,residential,19715834,22.16,2956.19599,13343.09644,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,PACC,Pacific Contiguous,TRA,transportation,20,16.12,11.05485,68.55969,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,PACN,Pacific Noncontiguous,ALL,all sectors,865731,30.28,400.96358,1324.18762,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,PACN,Pacific Noncontiguous,COM,commercial,116867,29.08,136.84657,470.54373,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,PACN,Pacific Noncontiguous,IND,industrial,2039,28.45,118.75374,417.40232,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,PACN,Pacific Noncontiguous,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,PACN,Pacific Noncontiguous,RES,residential,746825,33.32,145.36328,436.24157,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,PACN,Pacific Noncontiguous,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,RI,Rhode Island,ALL,all sectors,530163,24.08,129.96666,539.72046,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,RI,Rhode Island,COM,commercial,66686,23.46,58.33346,248.63496,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,RI,Rhode Island,IND,industrial,1718,20.41,9.23833,45.25985,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,RI,Rhode Island,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,RI,Rhode Island,RES,residential,461758,25.4,62.00744,244.1256,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,RI,Rhode Island,TRA,transportation,1,22.79,.38743,1.70005,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,SAT,South Atlantic,ALL,all sectors,35070968,12.01,8649.61981,72047.04835,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,SAT,South Atlantic,COM,commercial,4052929,10.94,3074.32049,28109.78433,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,SAT,South Atlantic,IND,industrial,87543,7.67,838.82784,10942.94341,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,SAT,South Atlantic,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,SAT,South Atlantic,RES,residential,30930483,14.37,4725.03276,32877.74163,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,SAT,South Atlantic,TRA,transportation,13,9.81,11.43873,116.57898,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,SC,South Carolina,ALL,all sectors,3024042,10.86,764.77775,7039.35429,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,SC,South Carolina,COM,commercial,415519,10.69,221.93595,2076.57363,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,SC,South Carolina,IND,industrial,3549,6.6,134.46737,2036.10496,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,SC,South Carolina,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,SC,South Carolina,RES,residential,2604974,13.95,408.37443,2926.67571,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,SC,South Carolina,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,SD,South Dakota,ALL,all sectors,520186,10.82,131.99434,1219.92093,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,SD,South Dakota,COM,commercial,78381,10.56,45.97373,435.26085,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,SD,South Dakota,IND,industrial,4365,8.4,22.17033,264.07725,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,SD,South Dakota,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,SD,South Dakota,RES,residential,437440,12.27,63.85028,520.58283,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,SD,South Dakota,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,TN,Tennessee,ALL,all sectors,3733638,11.41,961.18249,8426.16238,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,TN,Tennessee,COM,commercial,545413,12.64,348.22329,2753.87773,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,TN,Tennessee,IND,industrial,1012,6.61,125.75091,1902.79399,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,TN,Tennessee,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,TN,Tennessee,RES,residential,3187213,12.93,487.20829,3769.49067,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,TN,Tennessee,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,TX,Texas,ALL,all sectors,14597449,9.62,3667.23773,38122.95069,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,TX,Texas,COM,commercial,1547661,8.52,1052.83272,12360.32275,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,TX,Texas,IND,industrial,391191,6.23,914.86938,14694.20426,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,TX,Texas,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,TX,Texas,RES,residential,12658594,15.36,1699.50026,11067.5171,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,TX,Texas,TRA,transportation,3,3.9,.03537,.90658,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,US,U.S. Total,ALL,all sectors,164975906,12.82,42078.91627,328187.69582,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,US,U.S. Total,COM,commercial,19558768,12.64,14813.32344,117151.94094,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,US,U.S. Total,IND,industrial,1130411,7.96,6762.65931,84927.23808,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,US,U.S. Total,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,US,U.S. Total,RES,residential,144286646,16.27,20422.02791,125503.72372,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,US,U.S. Total,TRA,transportation,81,13.38,80.9056,604.79308,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,UT,Utah,ALL,all sectors,1443972,9.79,273.50649,2793.5689,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,UT,Utah,COM,commercial,147072,9.05,104.09542,1150.02572,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,UT,Utah,IND,industrial,10740,7.64,53.20794,696.16528,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,UT,Utah,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,UT,Utah,RES,residential,1286159,12.27,115.67606,943.03502,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,UT,Utah,TRA,transportation,1,12.14,.52706,4.34287,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,VA,Virginia,ALL,all sectors,4126102,10.94,1333.68886,12186.84063,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,VA,Virginia,COM,commercial,446416,8.86,570.68337,6441.32462,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,VA,Virginia,IND,industrial,3896,8.84,97.73278,1105.88487,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,VA,Virginia,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,VA,Virginia,RES,residential,3675789,14.37,662.95177,4614.36007,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,VA,Virginia,TRA,transportation,1,9.18,2.32094,25.27108,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,VT,Vermont,ALL,all sectors,388461,19,95.99601,505.20866,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,VT,Vermont,COM,commercial,63983,19.58,32.3888,165.42078,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,VT,Vermont,IND,industrial,239,11.98,13.47378,112.44807,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,VT,Vermont,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,VT,Vermont,RES,residential,324239,22.05,50.13344,227.33982,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,VT,Vermont,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WA,Washington,ALL,all sectors,3816136,10.21,882.86661,8643.9687,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WA,Washington,COM,commercial,403825,9.84,293.68891,2983.51153,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WA,Washington,IND,industrial,26366,6.35,93.97154,1479.56088,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WA,Washington,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WA,Washington,RES,residential,3385940,11.85,494.16139,4171.85439,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WA,Washington,TRA,transportation,5,11.55,1.04477,9.0419,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WI,Wisconsin,ALL,all sectors,3240028,12.14,716.84615,5906.28704,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WI,Wisconsin,COM,commercial,370959,11.67,228.24189,1956.59095,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WI,Wisconsin,IND,industrial,5884,7.92,145.82653,1842.22804,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WI,Wisconsin,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WI,Wisconsin,RES,residential,2863183,16.26,342.75138,2107.33172,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WI,Wisconsin,TRA,transportation,2,19.34,.02637,.13633,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WNC,West North Central,ALL,all sectors,11753152,9.89,2739.93805,27710.21454,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WNC,West North Central,COM,commercial,1529925,9.6,891.75402,9289.57851,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WNC,West North Central,IND,industrial,134387,7.31,614.12648,8403.87455,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WNC,West North Central,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WNC,West North Central,RES,residential,10088837,12.32,1233.71382,10013.02995,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WNC,West North Central,TRA,transportation,3,9.21,.34374,3.73153,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WSC,West South Central,ALL,all sectors,21012639,9.33,5176.95047,55464.67964,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WSC,West South Central,COM,commercial,2356570,8.82,1501.50036,17016.85542,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WSC,West South Central,IND,industrial,464805,6.05,1315.51507,21759.93482,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WSC,West South Central,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WSC,West South Central,RES,residential,18191258,14.14,2359.81441,16686.21725,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WSC,West South Central,TRA,transportation,6,7.21,.12064,1.67216,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WV,West Virginia,ALL,all sectors,1031514,11.25,347.94673,3093.65594,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WV,West Virginia,COM,commercial,152483,11.75,74.68964,635.67066,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WV,West Virginia,IND,industrial,10940,7.91,99.62838,1259.18121,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WV,West Virginia,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WV,West Virginia,RES,residential,868091,14.48,173.6287,1198.80407,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WV,West Virginia,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WY,Wyoming,ALL,all sectors,359004,9.11,136.39254,1497.79605,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WY,Wyoming,COM,commercial,59251,9.06,41.30806,455.80358,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WY,Wyoming,IND,industrial,12060,8.04,59.36482,738.41228,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024-12,WY,Wyoming,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
